time_s,ecg_processed
0.0,-0.006017983825401084
0.0025,-0.006060494298953471
0.005,-0.006102895826221767
0.0075,-0.006145185087417423
0.01,-0.006187358750006535
0.0125,-0.006229413468843015
0.015,-0.006271345886303392
0.0175,-0.006313152632423211
0.02,-0.006354830325035049
0.0225,-0.006396375569908108
0.025,-0.0064377849608893995
0.0275,-0.006479055080046527
0.03,-0.006520182497812074
0.0325,-0.006561163773129601
0.035,-0.006601995453601248
0.0375,-0.006642674075636932
0.04,-0.0066831961646051635
0.0425,-0.006723558234985486
0.045,-0.006763756790522501
0.0475,-0.006803788324381473
0.05,-0.0068436493193055154
0.0525,-0.006883336247774406
0.055,-0.006922845572165027
0.0575,-0.006962173744913409
0.06,-0.007001317208678405
0.0625,-0.007040272396506955
0.065,-0.007079035732000927
0.0675,-0.007117603629485517
0.07,-0.007155972494179235
0.0725,-0.007194138722365525
0.075,-0.0072320987015660155
0.0775,-0.007269848810715376
0.08,-0.007307385420337818
0.0825,-0.007344704892725187
0.085,-0.007381803582116658
0.0875,-0.007418677834880003
0.09,-0.007455323989694433
0.0925,-0.007491738377735025
0.095,-0.007527917322858741
0.0975,-0.007563857141792039
0.1,-0.007599554144320089
0.1025,-0.007635004633477552
0.105,-0.007670204905740922
0.1075,-0.007705151251222435
0.11,-0.007739839953865542
0.1125,-0.007774267291641973
0.115,-0.007808429536750382
0.1175,-0.007842322955816628
0.12,-0.007875943810095647
0.1225,-0.007909288355674832
0.125,-0.007942352843678913
0.1275,-0.00797513352047636
0.13,-0.008007626627887359
0.1325,-0.008039828403393404
0.135,-0.008071735080348476
0.1375,-0.00810334288819174
0.14,-0.008134648052661807
0.1425,-0.008165646796012515
0.145,-0.008196335337230201
0.1475,-0.00822670989225251
0.15,-0.008256766674188702
0.1525,-0.00828650189354153
0.155,-0.008315911758430624
0.1575,-0.008344992474817441
0.16,-0.008373740246731754
0.1625,-0.008402151276499579
0.165,-0.008430221764972542
0.1675,-0.008457947911758695
0.17,-0.008485325915454776
0.1725,-0.00851235197388002
0.175,-0.008539022284311498
0.1775,-0.008565333043720967
0.18,-0.008591280449013129
0.1825,-0.008616860697265333
0.185,-0.008642069985968727
0.1875,-0.008666904513270854
0.19,-0.00869136047821976
0.1925,-0.008715434081009521
0.195,-0.00873912152322716
0.1975,-0.008762419008100967
0.2,-0.008785322740750163
0.2025,-0.008807828928435924
0.205,-0.008829933780813868
0.2075,-0.00885163351018802
0.21,-0.008872924331766235
0.2125,-0.008893802463917019
0.215,-0.008914264128427692
0.2175,-0.008934305550763817
0.22,-0.008953922960329942
0.2225,-0.008973112590731708
0.225,-0.008991870680039362
0.2275,-0.009010193471052664
0.23,-0.009028077211567107
0.2325,-0.009045518154641408
0.235,-0.009062512558866271
0.2375,-0.009079056688634502
0.24,-0.009095146814412472
0.2425,-0.009110779213012869
0.245,-0.009125950167868739
0.2475,-0.009140655969308723
0.25,-0.009154892914833545
0.2525,-0.009168657309393676
0.255,-0.009181945465668216
0.2575,-0.009194753704345027
0.26,-0.009207078354402083
0.2625,-0.00921891575339006
0.265,-0.009230262247716163
0.2675,-0.009241114192929166
0.27,-0.009251467954005672
0.2725,-0.009261319905637546
0.275,-0.009270666432520438
0.2775,-0.009279503929643391
0.28,-0.00928782880257949
0.2825,-0.009295637467777553
0.285,-0.009302926352854976
0.2875,-0.009309691896891788
0.29,-0.00931593055072596
0.2925,-0.009321638777249832
0.295,-0.009326813051707699
0.2975,-0.00933144986199435
0.3,-0.009335545708954632
0.3025,-0.009339097106683921
0.305,-0.009342100582829607
0.3075,-0.009344552678893536
0.31,-0.009346449950535537
0.3125,-0.00934778896787793
0.315,-0.009348566315811067
0.3175,-0.009348778594299851
0.32,-0.009348422418691217
0.3225,-0.009347494420022555
0.325,-0.009345991245331031
0.3275,-0.009343909557963808
0.33,-0.00934124603788913
0.3325,-0.009337997382008311
0.335,-0.0093341603044686
0.3375,-0.009329731536976917
0.34,-0.009324707829114392
0.3425,-0.009319085948651738
0.345,-0.009312862681865397
0.3475,-0.009306034833854485
0.35,-0.009298599228858517
0.3525,-0.009290552710575906
0.355,-0.009281892142483256
0.3575,-0.009272614408155442
0.36,-0.009262716411586491
0.3625,-0.00925219507751127
0.365,-0.009241047351727814
0.3675,-0.009229270201420269
0.37,-0.009216860615482388
0.3725,-0.009203815604841604
0.375,-0.009190132202783717
0.3775,-0.009175807465278183
0.38,-0.009160838471304089
0.3825,-0.00914522232317681
0.385,-0.009128956146875278
0.3875,-0.009112037092369855
0.39,-0.009094462333950757
0.3925,-0.00907622907055698
0.395,-0.009057334526105595
0.3975,-0.00903777594982149
0.4,-0.009017550616567557
0.4025,-0.008996655827175355
0.405,-0.008975088908776263
0.4075,-0.008952847215133055
0.41,-0.008929928126971909
0.4125,-0.008906329052314808
0.415,-0.008882047426812305
0.4175,-0.008857080714076678
0.42,-0.008831426406015436
0.4225,-0.008805082023165212
0.425,-0.00877804511502599
0.4275,-0.008750313260395584
0.43,-0.008721884067704284
0.4325,-0.008692755175349658
0.435,-0.008662924252031553
0.4375,-0.008632388997087332
0.44,-0.008601147140827416
0.4425,-0.008569196444870992
0.445,-0.008536534702481903
0.4475,-0.008503159738904673
0.45,-0.008469069411700664
0.4525,-0.008434261611084258
0.455,-0.008398734260259107
0.4575,-0.008362485315754405
0.46,-0.008325512767761176
0.4625,-0.008287814640468544
0.465,-0.008249388992400034
0.4675,-0.008210233916749927
0.47,-0.008170347541719608
0.4725,-0.00812972803085384
0.475,-0.008088373583376966
